temp,humidity,minute,hour,day,month
68.2,44,50,10,1,2
65.2,42,51,10,1,2
63.2,41,52,10,1,2
62.2,40,53,10,1,2
73.4,30.0,39,12,1,1
73.4,31.0,40,12,1,1
73.4,30.0,41,12,1,1
73.4,30.0,42,12,1,1
73.4,31.0,43,12,1,1
73.4,30.0,44,12,1,1
73.4,30.0,45,12,1,1
73.4,30.0,46,12,1,1
75.2,30.0,52,12,1,1
75.2,30.0,53,12,1,1
75.2,30.0,54,12,1,1
75.2,31.0,56,12,1,1
73.4,30.0,56,12,1,1
73.4,29.0,57,12,1,1
73.4,30.0,58,12,1,1
73.4,30.0,59,12,1,1
73.4,30.0,0,13,1,1
73.4,31.0,1,13,1,1
73.4,31.0,2,13,1,1
73.4,30.0,3,13,1,1
73.4,30.0,4,13,1,1
73.4,30.0,5,13,1,1
73.4,30.0,6,13,1,1
73.4,30.0,7,13,1,1
73.4,30.0,8,13,1,1
73.4,30.0,9,13,1,1
73.4,30.0,10,13,1,1
73.4,30.0,11,13,1,1
73.4,30.0,12,13,1,1
73.4,31.0,13,13,1,1
73.4,30.0,14,13,1,1
73.4,30.0,15,13,1,1
73.4,30.0,16,13,1,1
73.4,30.0,17,13,1,1
73.4,31.0,18,13,1,1
73.4,30.0,19,13,1,1
73.4,30.0,20,13,1,1
73.4,30.0,21,13,1,1
73.4,30.0,22,13,1,1
73.4,30.0,23,13,1,1
73.4,30.0,24,13,1,1
73.4,30.0,25,13,1,1
73.4,30.0,26,13,1,1
73.4,30.0,27,13,1,1
73.4,30.0,28,13,1,1
73.4,30.0,29,13,1,1
73.4,30.0,30,13,1,1
73.4,30.0,31,13,1,1
73.4,30.0,32,13,1,1
73.4,30.0,33,13,1,1
73.4,29.0,34,13,1,1
73.4,30.0,35,13,1,1
73.4,30.0,36,13,1,1
73.4,29.0,37,13,1,1
73.4,29.0,38,13,1,1
73.4,29.0,39,13,1,1
73.4,29.0,41,13,1,1
73.4,29.0,42,13,1,1
73.4,29.0,43,13,1,1
73.4,29.0,44,13,1,1
73.4,29.0,45,13,1,1
73.4,29.0,46,13,1,1
73.4,29.0,47,13,1,1
73.4,29.0,48,13,1,1
73.4,29.0,49,13,1,1
73.4,29.0,50,13,1,1
73.4,29.0,51,13,1,1
73.4,29.0,52,13,1,1
73.4,29.0,53,13,1,1
73.4,29.0,54,13,1,1
73.4,29.0,55,13,1,1
73.4,29.0,56,13,1,1
73.4,28.0,57,13,1,1
73.4,29.0,58,13,1,1
73.4,29.0,59,13,1,1
73.4,28.0,0,14,1,1
73.4,28.0,1,14,1,1
73.4,28.0,2,14,1,1
64.4,59.0,3,14,1,1
64.4,60.0,4,14,1,1
62.6,60.0,5,14,1,1
